County,SalesTax,Location 1
St Louis County,0.08363,"Ellisville (x9)
(40.661927, -74.211653)"
Pemiscot County,0.06725,"Gobler
(36.156101, -89.959198)"
Nodaway County,0.06225,"Elmo
(35.679401, -119.329399)"
Wright County,0.056,"Graff
(37.318882, -92.274999)"
Clay County,0.06975,"Claycomo
(39.198042, -94.504054)"
Texas County,0.061,"Eunice
(30.493898, -92.4152)"
Moniteau County,0.06225,"High Point
(35.953972, -80.003935)"
St Louis County,0.07613,"Hanley Hills
(38.686689, -90.325159)"
Christian County,0.05975,"Chadwick
(42.014572, -89.889978)"
St Louis County,0.08113,"Eureka (t3)
(35.4328, -89.2192)"
Cass County,0.07975,"Cleveland
(41.505546, -81.6915)"
Shelby County,0.06725,"Emden
(40.30018, -89.484718)"
St Louis County,0.09613,"Clayton Centene Plaza Tdd
(37.940544, -121.933441)"
Nodaway County,0.06225,"Graham
(36.070742, -79.402014)"
Butler County,0.05225,"Harviell
(36.665041, -90.473673)"
St Louis County,0.08363,"Florissant (x9)
(38.789013, -90.322755)"
Lincoln County,0.06475,"Chain Of Rocks
(38.915185, -90.80323)"
Buchanan County,0.07575,"Gower
(39.613118, -94.596178)"
Wayne County,0.05725,"Coldwater
(41.940611, -85.000721)"
Howard County,0.086,"Glasgow
(36.995839, -85.911869)"
Vernon County,0.05225,"Dederick
(37.857201, -94.127502)"
Christian County,0.08475,"Highlandville Highlandville Cid
(42.184679, -87.802108)"
St Louis County,0.08613,"Green Park Flori Drive Cid
(44.513288, -88.013256)"
Boone County,0.08475,"Columbia Northwoods Tdd
(39.962649, -82.996216)"
St Louis County,0.08113,"Eureka (x3)
(36.402677, -93.735957)"
St Louis County,0.08613,"Des Peres
(38.603314, -90.442046)"
Livingston County,0.04975,"Dawn
(37.834202, -77.369698)"
Ray County,0.05725,"Elmira
(42.089823, -76.808259)"
Saline County,0.056,"Elmwood
(40.842776, -96.293739)"
Henry County,0.07675,"Deepwater
(38.1267, -81.264234)"
Pemiscot County,0.06725,"Hayward
(37.672111, -122.083963)"
Scotland County,0.05475,"Gorin
(40.355202, -92.008797)"
Boone County,0.08475,"Columbia Stadium Corridor A Tdd
(39.962649, -82.996216)"
Jefferson County,0.0685,"Dittmer
(38.335602, -90.688103)"
Platte County,0.056,"Farley
(39.6147, -123.366096)"
Shannon County,0.07225,"Eminence
(37.147518, -91.35776)"
Newton County,0.0535,"Dennis Acres
(37.045864, -94.505108)"
St Clair County,0.056,"Gerster
(37.953881, -93.577476)"
St Louis County,0.08613,"Des Peres (x5)
(37.908652, -121.6004)"
Butler County,0.06725,"Fisk
(43.955799, -88.678101)"
Cass County,0.085,"Harrisonville Hospital Interchange Tdd
(38.435982, -78.88)"
Wright County,0.081,"Hartville
(37.250963, -92.512854)"
Lincoln County,0.07475,"Hawk Point
(38.972701, -91.129985)"
Clinton County,0.05225,"Hemple
(39.725601, -94.561401)"
Pulaski County,0.05975,"Devils Elbow
(39.345798, -122.427803)"
Gentry County,0.05225,"Ford City
(35.154576, -119.456362)"
Gentry County,0.05225,"Darlington
(34.299949, -79.868972)"
St Louis County,0.07863,"Creve Coeur (x4)
(27.796416, -97.404131)"
St Francois County,0.0635,"Doe Run
(31.319545, -83.917287)"
St Louis County,0.08363,"Florissant (x1)
(38.789013, -90.322755)"
St Louis County,0.07863,"Creve Coeur (x1)
(27.796416, -97.404131)"
Jefferson County,0.091,"Crystal City
(28.694299, -99.830747)"
Nodaway County,0.06225,"Conception Junction
(40.26889, -94.691552)"
St Louis County,0.09113,"Dellwood (t1) Chambers W Florissant Cid
(64.038132, -145.732966)"
Wayne County,0.05725,"Clubb
(37.214401, -90.345596)"
Clay County,0.08725,"Gladstone Tower Tdd
(35.386634, -77.999032)"
Dunklin County,0.05225,"Gibson
(33.233475, -82.595461)"
Boone County,0.08975,"Columbia Lake Of The Woods Tdd
(39.962649, -82.996216)"
Pike County,0.07225,"Frankford
(38.517964, -75.235571)"
St Louis County,0.08363,"Florissant (t2)
(38.789013, -90.322755)"
St Louis County,0.08613,"Crestwood (t2)
(42.231746, -88.333549)"
Polk County,0.056,"Eudora
(38.941926, -95.098876)"
Franklin County,0.07975,"Gerald
(40.270599, -87.93)"
Webster County,0.07308,"Fordland
(37.157473, -92.940169)"
St Louis County,0.08613,"Crestwood (x1)
(42.231746, -88.333549)"
Macon County,0.0685,"Excello
(39.480801, -84.4189)"
St Charles County,0.0595,"Defiance
(41.286716, -84.362106)"
St Louis County,0.07113,"Clarkson Valley
(38.628171, -90.596745)"
Jackson County,0.076,"Greenwood
(33.521468, -90.192849)"
Hickory County,0.05725,"Galmey
(37.894199, -93.3619)"
Worth County,0.081,"Grant City
(40.486448, -94.413377)"
Grundy County,0.05725,"Dunlap
(36.7383, -119.120003)"
St Charles County,0.0845,"Cottleville Mid Rivers /n Tdd
(38.744794, -90.652126)"
St Louis County,0.07863,"Creve Coeur (t1)
(27.796416, -97.404131)"
Worth County,0.061,"Denver
(39.738453, -104.984853)"
St Louis County,0.09613,"Crestwood (t2) Glenwood-watson Tdd
(42.231746, -88.333549)"
Cass County,0.0785,"Harrisonville
(38.653157, -94.349513)"
Carroll County,0.07475,"Hale
(44.3778, -83.804703)"
Jasper County,0.07825,"Duquesne
(40.373155, -79.846924)"
St Louis County,0.07863,"Creve Coeur (x3)
(27.796416, -97.404131)"
St Louis County,0.08613,"Green Park Lindbergh E Concord Tdd
(44.513288, -88.013256)"
Phelps County,0.0635,"Edgar Springs
(37.702955, -91.866527)"
Cape Girardeau County,0.05725,"Gordonville
(32.151927, -86.717006)"
St Francois County,0.0635,"French Village
(37.972322, -90.389616)"
Cass County,0.07475,"Drexel
(38.483314, -94.606887)"
St Louis County,0.08363,"Florissant (x4)
(38.789013, -90.322755)"
Holt County,0.07725,"Forest City
(43.261486, -93.637271)"
St Louis County,0.09113,"Ferguson
(38.767617, -90.283524)"
Holt County,0.06725,"Fortescue
(39.237499, -75.171898)"
Morgan County,0.07225,"Gravois Mills
(38.308378, -92.825093)"
St Louis County,0.08363,"Ellisville (x10)
(40.661927, -74.211653)"
Iron County,0.06225,"Graniteville
(39.440392, -120.740477)"
Iron County,0.06225,"Des Arc
(34.977152, -91.510378)"
St Louis County,0.08613,"Frontenac
(38.63306, -90.41546)"
Christian County,0.06975,"Fremont Hills
(37.061919, -93.253297)"
Bollinger County,0.0585,"Glenallen
(37.662565, -77.485128)"
Warren County,0.06225,"Dutzow
(38.605598, -90.9944)"
Pike County,0.06225,"Cyrene
(30.9625, -84.6922)"
Callaway County,0.08725,"Fulton Fulton South Bus 54 Tdd
(38.844393, -91.944662)"
Ozark County,0.08225,"Gainesville
(29.651958, -82.325024)"
Carter County,0.06725,"Grandin
(47.236744, -96.999971)"
St Louis County,0.08863,"Crestwood Big Bend Crossing Tdd
(42.231746, -88.333549)"
Madison County,0.06225,"Cobalt City
(37.544998, -90.287498)"
Lincoln County,0.07475,"Foley
(30.40638, -87.682076)"
Dade County,0.06475,"Dadeville
(32.832902, -85.76361)"
Crawford County,0.066,"Cherryville
(35.381771, -81.380745)"
St Louis County,0.07613,"Green Park
(38.528637, -90.34177)"
Pemiscot County,0.06725,"Denton
(33.215533, -97.13245)"
Ralls County,0.08225,"Center
(31.795935, -94.181629)"
Taney County,0.061,"Cedarcreek
(41.045603, -96.103469)"
Crawford County,0.061,"Dillard
(43.104223, -123.427696)"
Osage County,0.07475,"Chamois
(38.675574, -91.768549)"
Barry County,0.07225,"Exeter
(42.981659, -70.950645)"
Scott County,0.05225,"Diehlstadt
(36.959534, -89.431823)"
St Louis County,0.08363,"Florissant (t1)
(38.789013, -90.322755)"
Ralls County,0.09475,"Hannibal
(39.704996, -91.385386)"
Newton County,0.0635,"Fairview
(37.678786, -122.050812)"
Saline County,0.06725,"Gilliam
(37.423901, -81.415298)"
Ray County,0.06725,"Fleming
(38.973598, -85.806396)"
Ozark County,0.06725,"Hardenville
(36.589243, -92.37124)"
St Louis County,0.10113,"Ferguson Pershall Rd Tdd
(46.27836, -96.074161)"
Camden County,0.05975,"Climax Springs
(38.102221, -93.050627)"
Sullivan County,0.08475,"Green City
(40.265145, -92.952747)"
Randolph County,0.05975,"Clifton Hill
(39.438015, -92.666337)"
Pemiscot County,0.06725,"Deering
(43.074009, -71.845147)"
Caldwell County,0.06725,"Cowgill
(39.560081, -93.926603)"
Cass County,0.085,"Harrisonville Harrisoniville Market Place A Tdd
(38.435982, -78.88)"
Miller County,0.05725,"Etterville
(38.3675, -92.470001)"
St Louis County,0.08613,"Des Peres (t1)
(37.908652, -121.6004)"
Livingston County,0.07225,"Chillicothe
(39.331846, -82.981776)"
Gasconade County,0.081,"Hermann
(38.704338, -91.437888)"
St Louis County,0.08113,"Chesterfield (x1)
(39.85268, -75.360689)"
Pemiscot County,0.06725,"Cooter
(36.046015, -89.808865)"
Hickory County,0.05725,"Cross Timbers
(38.02339, -93.228777)"
Ray County,0.09725,"Excelsior Springs
(39.336917, -94.230649)"
Vernon County,0.05225,"Deerfield
(42.167311, -87.845735)"
Wright County,0.056,"Grovespring
(37.399813, -92.60151)"
Osage County,0.05975,"Folk
(38.421398, -92.097801)"
Knox County,0.07725,"Edina
(44.910489, -93.348666)"
Pike County,0.07225,"Eoila
(39.253136, -114.875111)"
Ste Genevieve County,0.06725,"Clearwater
(27.963991, -82.799957)"
St Charles County,0.0845,"Cottleville Old Town Cottleville Cid
(38.744794, -90.652126)"
Pemiscot County,0.06725,"Cottonwood Point
(42.750599, -77.7267)"
Carter County,0.07225,"Ellsinore
(36.935654, -90.747079)"
Lafayette County,0.0735,"Corder
(39.099921, -93.638076)"
Scott County,0.05225,"Haywood City
(37.013004, -89.601041)"
Reynolds County,0.08725,"Ellington
(41.903847, -72.470262)"
Bollinger County,0.0585,"Grassy
(37.260799, -90.123596)"
St Louis County,0.09113,"Eureka South I44 Cid
(36.402677, -93.735957)"
St Louis County,0.08488,"Chesterfield Chesterfield Valley Tdd
(39.85268, -75.360689)"
St Louis County,0.09113,"Hazelwood
(38.785254, -90.390119)"
Lawrence County,0.0535,"Halltown
(39.3139, -77.798103)"
Polk County,0.061,"Half Way
(37.7314, -80.590302)"
St Louis County,0.09113,"Hazelwood (t1)
(38.785254, -90.390119)"
Monroe County,0.06225,"Florida
(42.693209, -73.054184)"
Scott County,0.05225,"Commerce
(42.590972, -83.490865)"
St Louis County,0.09113,"Ferguson (t1)
(46.27836, -96.074161)"
St Louis County,0.08613,"Des Peres (x2)
(37.908652, -121.6004)"
Cass County,0.085,"Harrisonville Harrisoniville Market Place B Tdd
(38.435982, -78.88)"
Schuyler County,0.07725,"Greentop
(40.351554, -92.563425)"
Lawrence County,0.0535,"Hoberg
(37.069871, -93.849011)"
St Louis County,0.08613,"Clayton
(37.940544, -121.933441)"
Ripley County,0.06225,"Gatewood
(38.081902, -77.669197)"
Stone County,0.07975,"Galena
(42.416762, -90.428864)"
Taney County,0.0835,"Forsyth
(36.68524, -93.119443)"
Schuyler County,0.06225,"Downing
(45.046293, -92.131772)"
Andrew County,0.06425,"Fillmore
(34.400675, -118.91376)"
Chariton County,0.0785,"Glasgow
(36.995839, -85.911869)"
Jackson County,0.091,"Grandview Sunrise Farms Cid
(47.925705, -97.036068)"
Saline County,0.056,"Grand Pass
(39.203947, -93.444226)"
St Charles County,0.0595,"Fort Zumwalt
(35.386636, -94.424357)"
St Louis County,0.08363,"Ellisville (x5)
(40.661927, -74.211653)"
Jefferson County,0.0935,"Desoto Highway 21 Tdd
(37.898602, -77.352203)"
New Madrid County,0.06225,"Conran
(36.483299, -89.646698)"
St Louis County,0.09113,"Eureka Shoppes At Hilltop Tdd
(36.402677, -93.735957)"
St Louis County,0.08613,"Des Peres (x1)
(37.908652, -121.6004)"
Cole County,0.05725,"Henley
(38.344526, -92.323573)"
St Louis County,0.08863,"Edmundson
(38.733989, -90.364839)"
Newton County,0.0535,"Cliff Village
(37.024758, -94.516548)"
Jefferson County,0.0685,"Hematite
(37.7397, -80.176399)"
Lewis County,0.0735,"Durham
(35.996948, -78.899023)"
Adair County,0.056,"Gibbs
(40.097879, -92.417277)"
St Louis County,0.07613,"Fenton
(38.512347, -90.436736)"
St Louis County,0.08363,"Florissant
(38.789013, -90.322755)"
Dent County,0.05475,"Doss
(30.444401, -99.130302)"
St Louis County,0.08113,"Dellwood
(42.916698, -78.578598)"
Christian County,0.05975,"Garrison
(47.651423, -101.417455)"
Maries County,0.05891,"High Gate
(44.97523, -73.104376)"
Laclede County,0.05413,"Eldridge
(41.654668, -90.583004)"
Boone County,0.08475,"Columbia North 763 Cid
(39.962649, -82.996216)"
Crawford County,0.066,"Davisville Steelville Ambulance District
(41.014257, -73.872696)"
Mississippi County,0.07475,"Charleston
(32.77647, -79.931027)"
Ray County,0.08225,"Henrietta
(33.815633, -98.197413)"
Andrew County,0.06425,"Cosby
(39.864052, -94.67888)"
Livingston County,0.04975,"Chula
(31.550136, -83.547886)"
St Louis County,0.09113,"Ferguson (t2)
(46.27836, -96.074161)"
Boone County,0.08475,"Columbia Broadway-fairview Tdd
(39.962649, -82.996216)"
Benton County,0.07725,"Cole Camp
(38.460286, -93.20372)"
Cass County,0.06975,"Freeman
(43.349981, -97.425702)"
Texas County,0.061,"Elk Creek
(38.098813, -85.366716)"
St Louis County,0.07613,"Fenton (t3x1)
(34.102893, -117.435765)"
Christian County,0.0785,"Clever
(37.030319, -93.473159)"
Moniteau County,0.06225,"Fortuna
(40.58858, -124.146858)"
St Louis County,0.07613,"Crystal Lake Park
(38.620008, -90.433411)"
Howard County,0.0885,"Franklin
(35.923652, -86.867827)"
Perry County,0.061,"Crosstown
(37.746399, -89.727798)"
Cass County,0.07475,"East Lynne
(38.668441, -94.228352)"
Oregon County,0.06225,"Couch
(36.604693, -91.38362)"
Barton County,0.071,"Golden City
(37.394064, -94.094109)"
Randolph County,0.07475,"Higbee
(39.307022, -92.515221)"
St Francois County,0.0635,"Fairview Acres
(37.858299, -90.533302)"
Mcdonald County,0.07225,"Ginger Blue
(36.58893, -94.45987)"
Cass County,0.07975,"Greenwood
(33.521468, -90.192849)"
Sullivan County,0.06975,"Harris
(36.031101, -94.047501)"
St Louis County,0.09113,"Hazelwood (t3)
(38.785254, -90.390119)"
Lafayette County,0.081,"Higginsville
(39.418098, -78.580002)"
Randolph County,0.07975,"Clark
(44.8777, -97.734918)"
Boone County,0.07975,"Columbia
(34.009286, -81.037094)"
St Louis County,0.08363,"Florissant (x6)
(38.789013, -90.322755)"
Dunklin County,0.06225,"Holcomb
(37.989111, -100.988171)"
St Louis County,0.08363,"Ellisville (x4)
(40.661927, -74.211653)"
St Louis County,0.08613,"Des Peres (x6)
(37.908652, -121.6004)"
St Louis County,0.07613,"Fenton (x2)
(34.102893, -117.435765)"
Gentry County,0.05225,"Gentry
(36.267541, -94.481691)"
Washington County,0.07225,"Courtois
(37.764702, -91.071899)"
Warren County,0.08225,"Foristell
(38.813026, -90.95594)"
Newton County,0.0535,"Grand Falls Plaza
(37.036714, -94.53695)"
Buchanan County,0.06825,"Easton
(40.689353, -75.216698)"
Texas County,0.061,"Hartshorn
(40.1297, -87.705299)"
Cape Girardeau County,0.06725,"Delta
(38.741684, -108.070175)"
Marion County,0.09225,"Hannibal Stardust Munger Diamond Tdd
(29.999022, -95.261315)"
St Louis County,0.07613,"Hillsdale
(41.613652, -90.17349)"
St Francois County,0.0885,"Desloge
(37.872183, -90.521126)"
St Louis County,0.08363,"Ellisville (x1)
(40.661927, -74.211653)"
St Louis County,0.09613,"Des Peres (t1) Manchester Ballas Cid
(37.908652, -121.6004)"
St Louis County,0.08363,"Florissant (x5)
(38.789013, -90.322755)"
Bates County,0.07225,"Drexel
(38.483314, -94.606887)"
Howell County,0.05162,"Hocomo
(36.6147, -92.003899)"
Ozark County,0.06725,"Dugginsville
(36.509701, -92.695297)"
Buchanan County,0.05825,"Faucett
(39.599764, -94.802277)"
Cass County,0.085,"Harrisonville Harrisoniville Towne Center Tdd
(38.435982, -78.88)"
Cape Girardeau County,0.06225,"Dutchtown
(42.619701, -78.483101)"
Hickory County,0.07225,"Hermitage
(37.944885, -93.325027)"
Lafayette County,0.066,"Emma
(38.972085, -93.496765)"
St Louis County,0.08363,"Ellisville (x7)
(40.661927, -74.211653)"
St Louis County,0.09113,"Hazelwood (x1)
(38.785254, -90.390119)"
Pemiscot County,0.09975,"Hayti Hayti-ventures Cid
(33.524399, -81.888298)"
Schuyler County,0.06225,"Glenwood
(39.544078, -107.324822)"
Clinton County,0.05225,"Grayson
(38.33263, -82.948818)"
Phelps County,0.0685,"Doolittle
(26.357725, -98.118716)"
New Madrid County,0.07225,"Gideon
(36.008547, -95.032648)"
Daviess County,0.06725,"Coffey
(40.104816, -94.00448)"
St Charles County,0.0745,"Dardenne Prairie
(38.763501, -90.735649)"
St Louis County,0.10113,"Hazelwood (x2) Hazelwood Commerce Center Cid
(38.785254, -90.390119)"
Wayne County,0.05725,"Hiram
(41.309419, -81.143599)"
Mississippi County,0.08475,"East Prairie
(36.779605, -89.385797)"
St Louis County,0.08113,"Eureka (x2)
(36.402677, -93.735957)"
St Louis County,0.08363,"Florissant (x11)
(38.789013, -90.322755)"
St Louis County,0.07613,"Fenton (t1x2)
(34.102893, -117.435765)"
Iron County,0.06225,"Glover
(40.113602, -88.018898)"
Morgan County,0.05725,"Florence
(34.801317, -87.673264)"
Barry County,0.06225,"Golden
(39.749672, -105.216019)"
St Louis County,0.10113,"Hazelwood (t1) 370/mo Bottom Rd/taussig Rd Tdd
(38.785254, -90.390119)"
Mercer County,0.06475,"Modena
(39.962424, -75.801154)"
Jefferson County,0.0985,"Herculaneum Mcnutt Road Corridor Cid
(38.006912, -122.261924)"
St Louis County,0.07613,"Fenton (x3)
(34.102893, -117.435765)"
Lincoln County,0.06475,"Fountain Lakes
(34.102893, -117.435765)"
Boone County,0.08475,"Columbia Columbia Mall Tdd
(39.962649, -82.996216)"
Nodaway County,0.06225,"Conception
(40.243655, -94.68581)"
St Louis County,0.09113,"Hazelwood (x2)
(38.785254, -90.390119)"
Ray County,0.05725,"Excelsior Estates
(39.390973, -94.209106)"
Platte County,0.071,"Dearborn
(42.322141, -83.17594)"
St Louis County,0.08363,"Florissant (x2)
(38.789013, -90.322755)"
Jefferson County,0.0835,"Festus
(38.219667, -90.395434)"
St Louis County,0.08113,"Dellwood (t1)
(46.782882, -92.105457)"
Lafayette County,0.081,"Concordia
(42.459041, -71.355036)"
Holt County,0.07725,"Craig
(40.512442, -107.547286)"
St Louis County,0.08363,"Ellisville (x11)
(40.661927, -74.211653)"
Jackson County,0.086,"Grain Valley Central Jackson County Fire Protection District
(44.513288, -88.013256)"
Newton County,0.07975,"Granby
(41.951103, -72.786055)"
St Louis County,0.07113,"Glen Echo Park
(38.700907, -90.295876)"
Platte County,0.071,"Edgerton
(42.855485, -89.056487)"
St Louis County,0.08113,"Chesterfield
(38.661405, -90.564272)"
Lincoln County,0.06475,"Corso
(39.127201, -91.185799)"
Nodaway County,0.06225,"Clyde
(38.025702, -122.028395)"
Cass County,0.085,"Harrisonville Hwy 71/291 Partners In Progress Tdd
(38.435982, -78.88)"
Stoddard County,0.06413,"Dudley
(42.055553, -71.951205)"
Pike County,0.06225,"Edgewood
(39.418799, -76.294162)"
St Louis County,0.08113,"Eureka
(40.786143, -124.161309)"
Lincoln County,0.07975,"Elsberry
(39.17253, -90.783225)"
Newton County,0.0785,"Diamond
(38.021702, -121.892197)"
Cape Girardeau County,0.05225,"Fruitland
(40.295799, -123.824203)"
Dekalb County,0.06725,"Clarksdale
(34.202624, -90.57496)"
Stone County,0.07475,"Crane
(31.40224, -102.351826)"
Boone County,0.06475,"Hartsburg
(40.249696, -89.440871)"
Osage County,0.07475,"Freeburg
(38.423588, -89.909075)"
Dade County,0.076,"Greenfield
(42.587881, -72.600259)"
Boone County,0.08975,"Columbia Shoppes At Stadium Tdd
(39.962649, -82.996216)"
Cape Girardeau County,0.05225,"Daisy
(48.361401, -118.158897)"
Jackson County,0.081,"Grandview
(46.247488, -119.915522)"
Montgomery County,0.07475,"High Hill
(29.7178, -96.926903)"
St Louis County,0.08363,"Ellisville (x3)
(40.661927, -74.211653)"
Lincoln County,0.06475,"Ethlyn
(38.9408, -90.825798)"
Lawrence County,0.0535,"Freistatt
(37.021804, -93.897739)"
Lafayette County,0.0585,"Dover
(39.161912, -75.524704)"
Jasper County,0.0545,"Fidelity
(37.073628, -94.312718)"
Christian County,0.07475,"Highlandville
(36.937506, -93.284259)"
St Louis County,0.08863,"Eureka Eureka Old Town Tdd
(41.088577, -76.517301)"
Johnson County,0.06475,"Centerview
(38.746351, -93.845078)"
Scotland County,0.05475,"Granger
(41.75815, -93.824344)"
Cass County,0.06975,"Creighton
(40.581251, -79.778877)"
St Louis County,0.08113,"Greendale
(42.942392, -87.995992)"
Macon County,0.0685,"Elmer
(47.098038, -92.776886)"
St Louis County,0.07863,"Creve Coeur
(38.661066, -90.42915)"
Ozark County,0.06725,"Dora
(33.730099, -87.089645)"
Miller County,0.08125,"Eldon
(38.346872, -92.581411)"
Scott County,0.06975,"Chaffee
(35.0667, -118.170303)"
St Charles County,0.0695,"Flint Hill
(36.7953, -79.4944)"
Stoddard County,0.05413,"Grayridge
(36.821399, -89.782256)"
St Louis County,0.09613,"Crestwood Crestwood Point Tdd
(42.231746, -88.333549)"
Clay County,0.05225,"East Kansas City
(38.622934, -90.154935)"
St Louis County,0.08613,"Des Peres (x4)
(37.908652, -121.6004)"
Sullivan County,0.07475,"Green Castle
(39.644033, -86.864449)"
Laclede County,0.05413,"Falcon
(33.464401, -93.4133)"
Pike County,0.07225,"Curryville
(40.7864, -85.071899)"
Crawford County,0.061,"Cookstation
(37.812801, -91.437798)"
St Louis County,0.10113,"Hazelwood (t2) Elm Grove Tdd
(38.785254, -90.390119)"
Benton County,0.06225,"Edwards
(34.926102, -117.934196)"
Saline County,0.066,"Emma
(38.972085, -93.496765)"
St Louis County,0.08363,"Ellisville
(38.595561, -90.589522)"
Andrew County,0.06425,"Helena
(46.59107, -112.020458)"
Clay County,0.08725,"Excelsior Springs Elms Hotel Cid
(38.8339, -120.040604)"
St Louis County,0.08363,"Florissant (x3)
(38.789013, -90.322755)"
Grundy County,0.05725,"Galt
(38.254799, -121.300682)"
Atchison County,0.07475,"Fairfax
(38.847183, -77.306292)"
Schuyler County,0.06225,"Coatsville
(40.589292, -92.634058)"
St Louis County,0.08863,"Florissant (t2) Koch Plaza Tdd
(38.789013, -90.322755)"
Montgomery County,0.06475,"Danville
(40.142128, -87.630211)"
Marion County,0.0885,"Hannibal
(39.704996, -91.385386)"
Madison County,0.08225,"Fredericktown
(37.559665, -90.292839)"
Clay County,0.08725,"Excelsior Springs
(39.336917, -94.230649)"
Cole County,0.05725,"Elston
(38.612801, -92.323601)"
St Charles County,0.0795,"Cottleville
(38.744794, -90.652126)"
St Louis County,0.08863,"Grantwood
(47.925705, -97.036068)"
St Charles County,0.0795,"Dardenne Prairie Bryan Road Cid
(35.223419, -93.156601)"
St Louis County,0.08613,"Des Peres (x3)
(37.908652, -121.6004)"
Jackson County,0.081,"Grain Valley
(39.019565, -94.204129)"
Pemiscot County,0.08975,"Hayti
(44.657081, -97.203887)"
Pettis County,0.07725,"Green Ridge
(40.5611, -74.170303)"
St Louis County,0.09113,"Hazelwood (t2)
(38.785254, -90.390119)"
Jackson County,0.091,"Grandview Grandview Crossing Cid
(47.925705, -97.036068)"
Crawford County,0.066,"Cookstation Steelville Ambulance District
(38.766701, -75.611099)"
Jackson County,0.081,"Greenwood Prairie Township Fire Protection District
(47.925705, -97.036068)"
St Louis County,0.09613,"Des Peres Des Peres Corners Tdd
(37.908652, -121.6004)"
Polk County,0.056,"Dunnegan
(37.702602, -93.577548)"
Clark County,0.06725,"Fairmont
(39.481232, -80.147572)"
St Louis County,0.07613,"Fenton (x1)
(34.102893, -117.435765)"
Stoddard County,0.07288,"Dexter
(42.382322, -83.959318)"
Wayne County,0.08725,"Greenville
(34.850746, -82.398964)"
Clay County,0.07725,"Gladstone
(39.209984, -94.562402)"
St Louis County,0.08363,"Ellisville (x6)
(40.661927, -74.211653)"
St Louis County,0.07113,"Country Life Acres
(38.624497, -90.456076)"
St Louis County,0.08613,"Fenton (t3x1) Gravois Bluffs Tdd
(34.102893, -117.435765)"
Phelps County,0.0535,"Duke
(34.6614, -99.569702)"
Mcdonald County,0.07725,"Goodman
(45.631361, -88.353497)"
St Louis County,0.07613,"Fenton (t2)
(34.102893, -117.435765)"
Harrison County,0.0735,"Eagleville
(39.579399, -121.095299)"
Johnson County,0.07475,"Chilhowee
(38.590582, -93.855483)"
Greene County,0.07725,"Fair Grove
(38.1344, -78.5233)"
Daviess County,0.081,"Gallatin
(36.381608, -86.44383)"
Callaway County,0.08225,"Fulton
(38.844393, -91.944662)"
St Louis County,0.08363,"Ellisville (x8)
(40.661927, -74.211653)"
Cass County,0.05975,"Gunn City
(38.665057, -94.163594)"
Jefferson County,0.0935,"Festus Truman Village Cid And Joachim-plattin Ambulance District
(38.219667, -90.395434)"
Jefferson County,0.0835,"Desoto
(43.41994, -91.194594)"
Chariton County,0.061,"Forest Green
(39.314999, -92.837502)"
Caldwell County,0.08725,"Hamilton
(39.398871, -84.558797)"
Crawford County,0.086,"Cuba
(40.492884, -90.19388)"
St Louis County,0.08113,"Eureka (x1)
(36.402677, -93.735957)"
Andrew County,0.07425,"Country Club Village
(39.832199, -94.821404)"
Harrison County,0.05475,"Hatfield
(40.279628, -75.299572)"
Cedar County,0.08225,"El Dorado Springs
(39.932816, -105.274808)"
St Louis County,0.09113,"Ferguson (t3)
(46.27836, -96.074161)"
St Louis County,0.07863,"Creve Coeur (x2)
(27.796416, -97.404131)"
Butler County,0.05225,"Fagus
(36.511398, -90.266899)"
Jefferson County,0.09725,"Hillsboro Hillsboro Lake Terrace Tdd
(45.52395, -122.989739)"
Jefferson County,0.08725,"Hillsboro
(45.52395, -122.989739)"
Howard County,0.07975,"Fayette
(39.147271, -92.684682)"
Clinton County,0.06475,"Gower
(39.613118, -94.596178)"
Chariton County,0.061,"Dalton
(34.771541, -84.971777)"
St Louis County,0.08363,"Florissant (x8)
(38.789013, -90.322755)"
Boone County,0.08475,"Columbia Centerstate Tdd
(39.962649, -82.996216)"
St Louis County,0.09613,"Crestwood Crestwood Square Cid
(42.231746, -88.333549)"
St Louis County,0.08613,"Fenton (t1x2) Fenton Crossing Tdd
(34.102893, -117.435765)"
Boone County,0.07975,"Centralia
(38.526099, -89.133204)"
Hickory County,0.05725,"Elkton
(39.606563, -75.833085)"
Carroll County,0.05475,"De Witt
(38.067799, -122.538597)"
Jefferson County,0.0685,"Grubville
(38.291297, -90.756339)"
St Clair County,0.061,"Collins
(44.084404, -87.985303)"
Bollinger County,0.0585,"Gipsy
(37.1469, -90.179398)"
Webster County,0.06308,"Elkland
(41.986299, -77.312215)"
Webster County,0.07808,"Diggins
(37.173036, -92.854009)"
St Louis County,0.08613,"Fenton (t2) Gravois Bluffs Tdd
(34.102893, -117.435765)"
Cole County,0.06725,"Centertown
(38.61877, -92.412928)"
Jefferson County,0.0735,"High Ridge
(38.462344, -90.533957)"
Boone County,0.086,"Columbia Grindstone Plaza Tdd
(39.962649, -82.996216)"
Platte County,0.066,"Ferrelview
(39.314846, -94.666349)"
Pulaski County,0.05475,"Fort Leonard Wood
(37.716853, -92.142675)"
Pulaski County,0.06975,"Dixon
(41.848723, -89.483511)"
St Louis County,0.08613,"Crestwood
(41.641264, -87.737934)"
Stone County,0.06475,"Coney Island
(36.592815, -93.397841)"
St Charles County,0.0795,"Foristell
(38.813026, -90.95594)"
Shelby County,0.08475,"Clarence
(42.980973, -78.587248)"
